p24v1 p24v5 p24v6 p24v7
927784 14109210 881834 892594
3142036 55647876 3070842 3074710
7078266 129485988 6971920 6993060
12615358 233994444 12453344 12490370
28611004 500280872 28497534 28425488
51721218 1188698676 51588006 51399900
85099608 2193076394 84863446 84594616
117758214 4110116448 117495220 117150424
