p1o0 p1o2 p1o3 p22 p23 p24v1 p24v1col1
5451788 860362 297658 2711704 3293128 937312 889992
21995292 3556982 1198236 10820092 12910676 3145704 2968712
50418550 8234752 2693996 25275708 29669154 7110468 6705316
93086740 14677518 4784368 45816046 53594410 12708462 11925156
210073662 33544944 11505692 105957524 123604378 28940670 27171332
368551672 59472926 21053804 190869174 221687850 51822254 48815426
578127598 95716192 33881462 312144398 362042628 84810864 79807070
813927022 132501024 47560558 433497072 502855626 117635896 110756444
