P1_O0 P1_O2 P1_O3 P2_a P2_b P2_c P2_d P2_e
5601966 858692 297190 5404112 5685124 5588190 4172276 5510146
23040886 3510862 1197546 21501460 23078214 23032704 16659682 22396602
52419580 8221134 2687706 48454650 52225796 52368980 37697012 50245790
92958724 14653050 4772840 86026362 92399594 92950094 66896390 88810126
209565786 33399730 11276484 193912846 207929046 209236940 150971766 201205320
368426622 59163206 20877278 345120222 367777098 370386196 268995872 355786908
596319940 95432968 33649150 560670546 596768148 591765878 436882084 578532910
809782892 132593916 47377886 776722812 823935440 811864192 604982934 798589260
