p21o0 p21o2 p21o3 p22 p23 p24_c2 p24_c1
5593314 858824 297044 2708842 3291212 924106 880244
23010710 3507118 1199096 10804248 12884666 3134830 2963876
52432506 8276784 2687454 25280332 29632746 7057810 6669728
92839112 14635494 4772330 45664418 53259984 12587696 11892916
209379210 33332578 11280274 104643828 121824806 28562888 26876836
367629778 59141926 20908696 189833500 220759782 51623404 48595174
591629232 95376050 33772640 311575058 361434108 84460702 79486686
819989662 132199840 47626902 433143208 502514486 117410134 110487800
